LogP,MolWt,TPSA,NumHDonors,NumAcceptors,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,RingCount,MaxPartialCharge,MinAbsEStateIndex,FpDensityMorgan1,SlogP_VSA1,SlogP_VSA2,NumRadicalElectrons
-2.206099999999997,307.328,158.82,6,6,0.6,20,6,9,0,0.32247070702770475,0.025618543713781916,1.2,16.367244685174846,58.3473164952434,0
11.50989999999999,792.0889999999996,171.68,3,9,0.9285714285714286,54,4,11,0,0.47188539279056063,0.16922452597957016,0.5,5.733667477162185,59.87430797188374,0
-0.9702999999999999,75.06700000000001,63.31999999999999,2,2,0.5,5,3,3,0,0.31675597840558584,0.2777777777777779,2.0,5.733667477162185,17.62058908870513,0
6.733900000000009,400.6470000000002,40.46,2,2,0.7777777777777778,29,2,2,3,0.05913246792231414,0.1922402540129089,1.206896551724138,0.0,21.918071988413402,0
0.4004199999999999,167.16400000000002,70.42,2,4,0.25,12,2,4,1,0.15376655656037302,0.11574074074074114,1.6666666666666667,0.0,21.483193833758175,0
-1.1037299999999988,131.13499999999996,90.41000000000001,3,2,0.5,9,4,5,0,0.3226929248940004,0.22685185185185208,1.8888888888888888,5.733667477162185,35.52772537097663,0
0.4444,131.17499999999998,63.31999999999999,2,2,0.8333333333333334,9,3,3,0,0.319977946620586,0.3574999999999997,1.6666666666666667,5.733667477162185,17.117673511940517,0
1.1222999999999999,204.22899999999996,79.11,3,2,0.18181818181818182,15,4,4,2,0.32031692105916915,0.3465740740740739,1.4666666666666666,5.733667477162185,22.101652032887724,0
-0.6719,121.16100000000002,63.31999999999999,3,3,0.6666666666666666,7,3,3,0,0.32082221100587355,0.18981481481481488,2.0,5.733667477162185,22.870527118687306,0
0.6077399999999997,265.36199999999997,75.91,2,5,0.4166666666666667,18,3,5,2,0.22499599742970383,0.17771332163107023,1.4444444444444444,10.30076712495354,21.68136640124804,0
7.641000000000009,396.6590000000003,20.23,1,1,0.7142857142857143,29,1,1,3,0.05833786750530352,0.18194430421770824,1.0344827586206897,0.0,11.210493782589008,0
6.440700000000007,306.49,37.3,1,1,0.65,22,1,2,0,0.30283955653803984,0.3131787673435438,0.7272727272727273,0.0,11.075832682792555,0
-1.1531999999999996,175.188,118.43999999999998,4,3,0.6666666666666666,12,6,6,0,0.3199685108146455,0.3289814814814813,1.5,16.784123558330702,29.693544430191164,0
-1.2209,119.11999999999999,83.55,3,3,0.75,8,4,4,0,0.32266366773949673,0.9791666666666667,1.75,5.733667477162185,28.32816729452952,0
-2.686399999999993,665.4459999999999,317.61999999999995,8,18,0.5238095238095238,44,10,21,5,0.4807077044773826,0.05165540746276398,0.9545454545454546,11.46733495432437,116.60452088195328,0
-0.04479999999999862,441.4040000000003,213.28,6,9,0.21052631578947367,32,7,13,3,0.32572120059413157,0.05244195219069825,1.125,21.926511580226855,54.0366000078734,0
5.9927000000000055,302.45799999999997,37.3,1,1,0.45,22,1,2,0,0.30285111400203624,0.25824553853731547,0.7272727272727273,0.0,11.075832682792555,0
-0.5817999999999999,89.09400000000001,63.31999999999999,2,2,0.6666666666666666,6,3,3,0,0.3196779563386595,0.7314814814814816,2.0,5.733667477162185,17.117673511940517,0
0.054300000000000015,117.148,63.31999999999999,2,2,0.8,8,3,3,0,0.3202358658393586,0.020833333333333037,1.625,5.733667477162185,17.117673511940517,0
5.510300000000006,286.459,20.23,1,1,0.5,21,1,1,1,0.06174951433787152,0.09849876444302863,1.1904761904761905,0.0,11.713409359353623,0
8.840260000000004,430.71700000000027,29.46,1,2,0.7931034482758621,31,1,2,2,0.12652475342115496,0.0711696279662859,0.8064516129032258,4.736862953800049,10.707578205824394,0
0.08022000000000001,169.17999999999998,73.58000000000001,3,4,0.375,12,3,4,1,0.1421423749862462,0.037916666666666377,1.3333333333333333,0.0,20.303560705469327,0
2.785100000000001,206.33199999999997,37.3,1,3,0.875,12,1,2,1,0.3028395621795195,0.33782690854119424,1.5,0.0,22.078624319521516,0
0.4443999999999997,131.17499999999998,63.31999999999999,2,2,0.8333333333333334,9,3,3,0,0.3202466808084985,0.07175925925925886,1.7777777777777777,5.733667477162185,17.117673511940517,0
-0.3110999999999997,294.3070000000001,118.71999999999998,3,5,0.35714285714285715,21,4,7,1,0.32820666018566713,0.23516345427059715,1.2857142857142858,11.050456081168516,42.145796899669364,0
7.619000000000009,384.6480000000002,20.23,1,1,0.7777777777777778,28,1,1,3,0.05833786750530352,0.17192468334019528,1.1071428571428572,0.0,11.210493782589008,0
2.0119,172.183,34.14,0,2,0.09090909090909091,13,0,2,2,0.18910709987746413,0.04611111111111077,1.0,0.0,11.566489892729878,0
-1.6289999999999987,507.18200000000013,279.13,7,14,0.5,31,8,18,3,0.4895429757303667,0.04258722959067818,1.032258064516129,5.733667477162185,74.22451753908211,0
-0.1770000000000001,115.13199999999999,49.33,2,2,0.8,8,2,3,1,0.32019187971860097,0.2685185185185188,1.75,5.316788604006331,23.662429917853093,0
